index,date,fac_aggregate_cases,fac_aggregate_cases_per_pop,cum_risk_factor,cum_risk_factor_u,hosp_risk_lower,hosp_risk_upper,death_risk_lower,death_risk_upper,f_risk
3024,18880,143,0.002037617554859,0.689224137931035,2.0676724137931,0.002596732814839,0.018947398103333,6.0181673275862E-05,0.000130105453927,Medium Risk
2660,18906,144,0.002051866628669,0.694043887147335,2.08213166144201,0.002614891785572,0.019079897390769,6.0602524137931E-05,0.000131015282276,Medium Risk
5194,18725,144,0.002051866628669,0.694043887147335,2.08213166144201,0.002614891785572,0.019079897390769,6.0602524137931E-05,0.000131015282276,Medium Risk
5992,18668,145,0.002066115702479,0.698863636363636,2.09659090909091,0.002633050756305,0.019212396678205,6.1023375E-05,0.000131925110625,Medium Risk
6930,18601,145,0.002066115702479,0.698863636363636,2.09659090909091,0.002633050756305,0.019212396678205,6.1023375E-05,0.000131925110625,Medium Risk
5978,18669,146,0.00208036477629,0.703683385579937,2.11105015673981,0.002651209727038,0.01934489596564,6.14442258620689E-05,0.000132834938974,Medium Risk
224,19080,147,0.0020946138501,0.708503134796238,2.12550940438871,0.002669368697772,0.019477395253076,6.18650767241379E-05,0.000133744767323,Medium Risk
5264,18720,147,0.0020946138501,0.708503134796238,2.12550940438872,0.002669368697772,0.019477395253076,6.18650767241379E-05,0.000133744767323,Medium Risk
6034,18665,147,0.0020946138501,0.708503134796238,2.12550940438871,0.002669368697772,0.019477395253076,6.18650767241379E-05,0.000133744767323,Medium Risk
5180,18726,148,0.00210886292391,0.713322884012539,2.13996865203762,0.002687527668505,0.019609894540512,6.22859275862069E-05,0.000134654595672,Medium Risk
6006,18667,148,0.00210886292391,0.713322884012539,2.13996865203762,0.002687527668505,0.019609894540512,6.22859275862069E-05,0.000134654595672,Medium Risk
5208,18724,149,0.00212311199772,0.71814263322884,2.15442789968652,0.002705686639238,0.019742393827948,6.27067784482759E-05,0.000135564424022,Medium Risk
